job_title,company,job_location,job_summary,post_date,today,job_salary,job_url
Business Data Analyst - Bancassurance,24x7 Corporate Solutions India Pvt Ltd,"Kochi, Kerala",Provide timely business analytical solutions to enable data – driven decisions to support sales team in achieve the organisational goals.,EmployerActive 4 days ago,2022-07-26,"₹15,00,000 - ₹20,00,000 a year",https://in.indeed.com/company/24x7-Corporate-Solutions-India-Pvt-Ltd/jobs/Business-Data-Analyst-3aa28fa49e66b64a?fccid=334d097f24c8819e&vjs=3
Data Analyst,Discover WebTech Private Limited,"Indore, Madhya Pradesh","Top notch Google Sheets skills.,Excellent programming skills in Python with prior knowledge of Pandas, Numpy, Matplotlib, Seaborn.",EmployerActive 3 days ago,2022-07-26,"₹6,00,000 a year",https://in.indeed.com/company/Discover-WebTech-Private-Limited/jobs/Data-Analyst-0e8fb89e54832259?fccid=3b188142e5721e71&vjs=3
Manager - Data Analyst,Maruti Suzuki India Ltd,"Gurgaon, Haryana","Understanding of accidents, accident data.,Story telling with the help of data.,Knowledge of Automotive domain/Road Safety/Environment data is a plus.",Posted30+ days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=d89ae761919a1d68&fccid=9102c38c15134e6c&vjs=3
Analyst - Tech Consulting - National - Data & Analytics - Pu...,EY,"Pune, Maharashtra+2 locations","EY is looking for Analyst in IT Advisory.,An important part of your role will be to assist Seniors & Managers while actively participating within the client…",Posted10 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=67deb0dba8681206&fccid=1544766d4c2915b0&vjs=3
Azure Data Engineer- Senior Analyst- Hyderabad/Bengaluru,Deloitte,"Bengaluru, Karnataka","Expertise in Development, deployment and monitoring ADF (Azure data factory) pipelines (using visual studio and browsers).,Expertise in Azure logic apps.",Posted1 day ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=1381d20fdfbf8568&fccid=9e215d88a6b33622&vjs=3
Risk Analyst,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka","Knowledge of performing qualitative/quantitative risk assessments.,Maintain risk register and ensure risks are monitored and managed.",Posted30+ days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=31254e5dade17fdd&fccid=b25343f021fb51d7&vjs=3
Analyst – OrgSolutions,McKinsey & Company,"Bengaluru, Karnataka","There is flexibility to hire at the analyst or senior analyst level depending on candidate experience.,OrgSolutions can help human resources and business…",Posted4 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=54624aff233cb1cb&fccid=6576e7250aa78c3c&vjs=3
Programmer Analyst (Junior),FENG GROUP,"Patna, Bihar","Ability to understand functional/technical specifications and analyze data;,Our Client is from a Financial Services company that is looking for a passionate…",Posted5 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=77cfb6f24c9f61a2&fccid=dd616958bd9ddc12&vjs=3
Senior Analyst - Tech and Data Risk & Compliance - Line 1,Commonwealth Bank,"Bengaluru, Karnataka","Contribute to the design and implementation of controls and process maps Contribute to root cause analysis of issues and incidents, identifying and implementing…",Posted18 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=f59575d02ca28a2a&fccid=26f47cce54403a22&vjs=3
Data Analyst,Otipy,"Gurgaon, Haryana","Create processes and methods to gather data.,Analyze data to identify issues and suggest improvements.,Identify cost-effective delivery modes and schedules.",Posted30+ days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=d21d89ab5ea594c5&fccid=231f97b87bd1ffbb&vjs=3
Business Analyst 1-Ops,Oracle,"Bengaluru, Karnataka+2 locations","Ability to collect, organize, and display data in spreadsheet format.,Follow-through skills necessary to get information from internal and third parties and…",Posted8 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=2a177d160b328781&fccid=cd22d01053af7669&vjs=3
Data Analyst I,Intercontinental Exchange,"Remote in Hyderabad, Telangana","Identify data quality issues, recommending procedural and technical changes to improve productivity and data quality for ICE Data Services;",Posted10 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=79f6c6ac54337f88&fccid=306f81e1483f7d82&vjs=3
Data Analyst,Schneider Electric,"Bengaluru, Karnataka","Use ETL tool to process data from various data silos.,Experience with data visualization tools such as Tableau.,Proficient in MS Access, Excel, PowerPoint.",Posted26 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=666fba4ef9856e9f&fccid=8dc4399ddb463d4a&vjs=3
Data Analyst,GREEN JEEVA LLC,"Bengaluru, Karnataka","Build proactive data validation automation to catch data integrity issues.,Strong ability to troubleshoot and resolve data issues.",EmployerActive 3 days ago,2022-07-26,,https://in.indeed.com/company/GREEN-JEEVA-LLC/jobs/Data-Analyst-d4646c5b111ba39d?fccid=712efb0f92f56316&vjs=3
Data Analyst - Ingestion,Crowe,"Noida, Uttar Pradesh","Leverages data extraction tools and ETL skill to obtain data from various data systems across the industry.,Broadly looking at the popular data source systems…",PostedToday,2022-07-26,,https://in.indeed.com/rc/clk?jk=c815a8da6d177892&fccid=994b5c764776123e&vjs=3
Data Analyst,Braintech Education And Placement Serveries,"Jaipur, Rajasthan","Jaipur, Rajasthan: Reliably commute or planning to relocate before starting work (Preferred).,Total work: 1 year (Preferred).",EmployerActive 4 days ago,2022-07-26,"₹1,00,000 a month",https://in.indeed.com/company/Braintech-Education-And-Placement-Serveries/jobs/Data-Analyst-9e1058dca84f4a71?fccid=e6831f89d5cd45c5&vjs=3
Data Transformation Analyst II,S&P Global,"Hyderabad, Telangana+3 locations","Monitoring workflow, data timeliness and quality.,Assisting with the collection and processing of data.,1 - 4 years of experience in data research.",PostedToday,2022-07-26,,https://in.indeed.com/rc/clk?jk=4fe14ce88817e41b&fccid=b716e44d2c6283e7&vjs=3
Junior Business Analyst,Khelo Tech & Strategy Pvt Ltd,"Delhi, Delhi","Handle tough technical problems and data issues.,The Business analyst job description entails providing analysis, design, documentation, and testing on projects…",EmployerActive 5 days ago,2022-07-26,"₹25,000 - ₹33,000 a month",https://in.indeed.com/company/Khelo-Tech-&-Strategy-Pvt-Ltd---Allsport.in/jobs/Junior-Business-Analyst-a7bcd21f7b1430f6?fccid=30c84e5f1a32149c&vjs=3
Data Analyst,Yulu,"Bengaluru, Karnataka","A data-driven mindset with ability to deal with ambiguity in the absence of data.,Yulu is looking for a data analyst who will be responsible for recommending…",Posted13 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=b89e9c32938d724f&fccid=4aee6d1963cc0957&vjs=3
Data Analyst IoT,Skroman Switches Pvt Ltd,"Pune, Maharashtra","Proven skills in data mining, data preparation and data analysis.,Develop data analytical tools to integrate data collected and provide a variety of data trend…",EmployerActive 4 days ago,2022-07-26,"₹4,00,000 - ₹8,00,000 a year",https://in.indeed.com/company/Skroman-Switches-Pvt-Ltd/jobs/Data-Analyst-Iot-2d1f9d32030912ba?fccid=9894477ae89f4d7c&vjs=3
Training Data Analyst,Flipkart,"Bengaluru, Karnataka","Should have a keen eye for anomalies and data points that skew data sets and should be proactive in flagging them off.,Highly skilled in PowerBI & Excel.",Posted30+ days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=ac4712980fbe1c5e&fccid=c8e55b1b92c9854c&vjs=3
"Data Engineer (MSBI,Power BI & Tableau)",UST Global,"Bengaluru, Karnataka","Passion for sharing data with others.,Demonstrated skills in visualizing data, specifically utilizing Tableau.,Overall desire to make things better.",Posted19 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=d0f0e345f3a1ca3c&fccid=810178099fb1fcbc&vjs=3
Data Analyst,PIPETECH SERVICES PVT LTD,"Mumbai, Maharashtra",MS in Mechanical/Chemical/Petroleum Engineering with fluid mechanics knowledge and data analysis background to analyze the data generated by MPFM/OW+/OWM.,EmployerActive 4 days ago,2022-07-26,"₹40,000 - ₹50,000 a month",https://in.indeed.com/company/PIPETECH-SERVICES-PVT-LTD/jobs/Data-Analyst-9019b52ba0a4618f?fccid=8a52fbffd52238d1&vjs=3
Analyst_Data Wrangler,Société Générale,"Bengaluru, Karnataka","Identify and acquire data sources and process them: data profiling, data preparation, use of AI techniques, advanced software.,You're fluent in English!",Posted3 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=6c94f2660b87fed4&fccid=df6948c9b8da6236&vjs=3
Data Science Platform Support Analyst,Barclays,"Pune, Maharashtra","Ensure that all activities and duties are carried out in full compliance with regulatory requirements, Enterprise Wide Risk Management Framework and internal…",Posted2 days ago,2022-07-26,,https://in.indeed.com/rc/clk?jk=3b0ec4dcbd09758b&fccid=057abf3fd357e717&vjs=3
